"initial_alias","converted_alias","name","description","namespace"
"KMT2D","ENSG00000167548","KMT2D","lysine methyltransferase 2D [Source:HGNC Symbol;Acc:HGNC:7133]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ENG","ENSG00000106991","ENG","endoglin [Source:HGNC Symbol;Acc:HGNC:3349]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PALB2","ENSG00000083093","PALB2","partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:HGNC:26144]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASP8","ENSG00000064012","CASP8","caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SACS","ENSG00000151835","SACS","sacsin molecular chaperone [Source:HGNC Symbol;Acc:HGNC:10519]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMER1","ENSG00000184675","AMER1","APC membrane recruitment protein 1 [Source:HGNC Symbol;Acc:HGNC:26837]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCN1A","ENSG00000144285","SCN1A","sodium voltage-gated channel alpha subunit 1 [Source:HGNC Symbol;Acc:HGNC:10585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALMS1","ENSG00000116127","ALMS1","ALMS1 centrosome and basal body associated protein [Source:HGNC Symbol;Acc:HGNC:428]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MMACHC","ENSG00000132763","MMACHC","metabolism of cobalamin associated C [Source:HGNC Symbol;Acc:HGNC:24525]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN2A","ENSG00000147889","CDKN2A","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PMS2","ENSG00000122512","PMS2","PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MGA","ENSG00000174197","MGA","MAX dimerization protein MGA [Source:HGNC Symbol;Acc:HGNC:14010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
