gene_symbol,ac_total,n_variants,ac_nmd_triggering,n_triggering,ac_nmd_evading,n_evading,ac_synonymous_nmd_triggering,ac_synonymous_nmd_evading,n_synonymous_variants_nmd_triggering,n_synonymous_variants_nmd_evading,log_odds_t1,se_log_or_t1,ci_lower_t1,ci_upper_t1,z_score_t1,p_value_t1,n_rare_t2,n_common_t2,af_split_t2,ac_rare_triggering_t2,ac_rare_evading_t2,ac_common_triggering_t2,ac_common_evading_t2,n_rare_triggering_t2,n_rare_evading_t2,n_common_triggering_t2,n_common_evading_t2,log_odds_t2,se_log_or_t2,ci_lower_t2,ci_upper_t2,z_score_t2,p_value_t2,p_value_combined,p_value_fdr_t1,p_value_fdr_t2,p_value_fdr_combined
STRC,73,16,73.0,16.0,0.0,0.0,148871.0,765.0,294.0,9.0,-0.27987699484901807,1.419478247493625,-3.062003236774556,2.50224924707652,-0.1971689212872387,0.8436953504164858,8,8,6.64461e-06,8,0,65,0,8,0,8,0,2.0419839791449355,2.032957017350846,-1.942538556980693,6.0265065152705635,1.0044403111905693,0.31516642799825956,0.6181263358455028,0.8717778295186265,,0.7084144523173178
SYCP2L,22,15,21.0,14.0,1.0,1.0,203974.0,152172.0,356.0,34.0,2.369607586785344,0.8445056356454004,0.7144069561792541,4.024808217391434,2.805910922044242,0.005017456072386121,8,7,6.57462e-06,8,0,13,1,8,0,6,1,-0.6359887667199968,1.6906767282849404,-3.9496542636584913,2.677676730218497,-0.37617408229493865,0.7067874820844489,0.023553854096118394,0.011823312328989078,,0.048049862356081524
SYNE4,122,11,119.0,9.0,3.0,2.0,204460.0,1169.0,180.0,81.0,-1.6332450928736897,0.5430860371423598,-2.697674166179297,-0.5688160195680823,-3.0073413440485215,0.0026354365263642886,6,5,1.31479e-05,5,3,114,0,4,2,5,0,4.981736879811182,1.5736156112553714,1.8975069562406714,8.065966803381691,3.1657901994483515,0.0015466230101639589,5.466110001768033e-05,0.00667270099228405,0.021800019571834847,0.0002087060182493249
SZT2,12,10,11.0,9.0,1.0,1.0,180106.0,1238.0,1752.0,138.0,-2.9427654453828485,0.8685828509802586,-4.645156550893276,-1.240374339872421,-3.3880077669755106,0.0007040227066171784,5,5,6.57229e-06,5,0,6,1,5,0,4,1,-0.9315582040049435,1.7327235793198528,-4.327634014635187,2.4645176066252996,-0.5376265522805482,0.5908348952613052,0.003654185131663775,0.002103231014747554,0.7286963708222765,0.009330533358396152
TARS1,27,17,20.0,15.0,7.0,2.0,47526.0,2433.0,323.0,68.0,-1.9664350343185557,0.42725378031019706,-2.8038370559851304,-1.129033012651981,-4.602498854172511,4.174518605739304e-06,9,8,6.578e-06,9,0,11,7,9,0,6,2,-2.5169949643395007,1.5249763975115158,-5.5058937807357085,0.47190385205670715,-1.6505140462808334,0.09883784283875842,6.478150898085361e-06,1.828592812575376e-05,0.2745831986262732,2.855185025452437e-05
TARS2,22,10,21.0,9.0,1.0,1.0,8976.0,8030.0,289.0,63.0,2.5512245682175205,0.8446385154699215,0.8957634979410971,4.206685638493944,3.0204928161464744,0.0025236369470181905,5,5,6.57367e-06,4,1,17,0,4,1,5,0,2.456735772821304,1.7164008115914378,-0.9073480009332329,5.820819546575841,1.4313298829912762,0.1523356933687666,0.0034075694792423078,0.006494295949137154,0.34149091714883706,0.008944869883011058
TBC1D32,39,18,36.0,15.0,3.0,3.0,327660.0,2807.0,607.0,49.0,-2.4151343116394592,0.559884619102671,-3.512488000578621,-1.3177806227002977,-4.313628610677328,1.6059664373553733e-05,9,9,6.58328e-06,6,3,30,0,6,3,9,0,3.491834655767088,1.5723699707150163,0.4100461427933566,6.57362316874082,2.2207462116433185,0.026368155567148274,6.637708394199399e-06,6.405921990344897e-05,0.1393745365692123,2.9075606094836634e-05
TBC1D4,19,15,18.0,14.0,1.0,1.0,213708.0,275005.0,421.0,289.0,2.7644837845225503,0.8489576174831664,1.1005574298546124,4.428410139190488,3.2563272036102155,0.0011286360499924728,8,7,6.57531e-06,7,1,11,0,7,1,7,0,1.5260563034950494,1.699104623541214,-1.804127564611217,4.856240171601316,0.8981532286778766,0.3691038645551459,0.0036590326895671187,0.003210542389221616,0.5720143660121633,0.009330533358396152
TBCD,24,13,16.0,10.0,8.0,3.0,331302.0,20841.0,728.0,69.0,-2.1027914466355835,0.42226072397335424,-2.9304072577091667,-1.2751756355620003,-4.979841427942692,6.363639268127909e-07,7,6,6.57151e-06,6,1,10,7,6,1,4,2,-1.129864832172214,1.0242481384333824,-3.1373542947338393,0.8776246303894111,-1.103116315056599,0.2699766566083609,2.8479704481825306e-06,3.133543749960915e-06,0.46192537778077936,1.3290528758185143e-05
TBCK,24,11,23.0,10.0,1.0,1.0,218609.0,264.0,380.0,44.0,-3.96566574781144,0.8443963233335008,-5.62065213022314,-2.31067936539974,-4.696450752125279,2.6472102305356017e-06,6,5,6.58302e-06,5,1,18,0,5,1,5,0,2.3116349285139637,1.7036839209603707,-1.0275241976083471,5.6507940546362745,1.3568449523259511,0.17483048084180752,7.2133774698270325e-06,1.2273429250665062e-05,0.366661343820033,3.1404582399125006e-05
