uORF_length,PTC_AUG_dist,AUG_driven_fitness_enrichment
20,5,-0.385156018489404
20,10,0.0572515842989649
20,20,-0.0410563233796413
20,40,-0.0045063788960431
20,60,0.576626592716588
20,50,0.488792666996912
20,30,0.120341159723321
20,1,-0.069490017183641
19,5,0.42914825109164
19,10,0.143638533020733
19,20,0.140764635621197
19,30,-0.0089028392769141
19,40,0.426198751647307
19,60,0.756939519010489
19,50,0.370060156059131
19,1,0.505228971020014
18,1,0.0569205835204381
18,5,0.258786311499477
18,10,0.0581424612307324
18,30,0.113759131278819
18,40,0.179706193822209
18,60,0.767301392219356
18,50,0.741488850119056
18,20,-0.0722847661949331
17,1,0.289887908382827
17,5,0.27259523892376
17,10,0.0693176267964914
17,30,0.0038768892003557
17,40,-0.0201011495799539
17,50,0.56382859699943
17,60,0.734306798479978
17,20,0.0600096942169897
16,1,0.448426131689321
16,20,-0.316295369258516
16,30,0.108744203135818
16,60,0.545105553527607
16,50,0.514325513792642
16,40,-0.152545290330635
16,10,0.0183137805628124
16,5,0.310008138037079
15,10,0.372015778159602
15,20,-0.267347382466924
15,60,0.599102559633369
15,50,0.554706413078476
15,40,0.382158991135662
15,30,0.34076377833235
15,5,0.332727197899688
15,1,0.36507182885948
14,1,0.348920549857498
14,5,0.178224045668746
14,10,0.154751365433636
14,20,-0.409473522620511
14,30,0.331521977270152
14,40,0.122972409674635
14,50,0.424293304514585
14,60,0.596779636256028
13,1,0.393334143466745
13,5,0.323812185658004
13,10,0.138141023451677
13,20,-0.17020863214062
13,30,-0.0378906442185483
13,50,0.388912718293012
13,60,0.740579863845267
13,70,0.907139189195543
13,40,0.110502951803579
12,5,0.361163999851731
12,10,-0.0360330429780656
12,40,0.188215886120997
12,50,0.498547415644064
12,70,0.916751551491793
12,30,0.337529646517047
12,20,0.027534918789261
12,1,0.399689321650865
11,1,0.197548772497956
11,30,0.35152261375691
11,40,-0.172341353223897
11,50,0.80054243603479
11,70,1.07229549778507
11,60,0.333916305372192
11,20,0.406572758940235
11,10,0.396743221919348
11,5,0.270472360770583
10,1,0.223993507793533
10,5,0.342669580936487
10,20,0.0689795620763564
10,30,-0.208609881682203
10,50,0.52233582203999
10,70,1.65814580969173
10,60,0.761271498180162
10,40,0.35644446392367
