gene_symbol,n_ptc_triggering,n_ptc_evading,n_syn_triggering,n_syn_evading,n_variants,log_odds,se_log_or,ci_lower,ci_upper,z_score,p_value,p_value_fdr
SMARCE1,7.0,2.0,13,15,9.0,1.2367626271489272,0.8197094219536978,-0.36983831766846675,2.843363571966321,1.5087817634219984,0.13135456262277964,0.30668901943751403
SMC1A,21.0,1.0,106,7,22.0,0.00934586241823765,0.9251493389007415,-1.8039135221482565,1.8226052469847318,0.010102004103837294,0.9919399039820681,0.9985464250936472
SOX9,10.0,48.0,13,103,58.0,0.5066933864810801,0.4467578334646103,-0.3689358769206994,1.3823226498828596,1.134156691896523,0.2567288266970318,0.457033735438672
STAG1,41.0,0.0,88,5,41.0,1.6405861480211394,1.4890312294873465,-1.2778614336294558,4.559033729671735,1.101780886480112,0.2705569418363667,0.46469858985089885
STAG2,115.0,2.0,103,11,117.0,1.6357552207514738,0.7108279441228598,0.2425580510660188,3.028952390436929,2.301197124108488,0.02138049138427528,0.0911484106382262
STK11,49.0,4.0,48,12,53.0,1.0420601191631884,0.5856985565333701,-0.10588795743931367,2.1900081957656905,1.7791748119219022,0.07521110652125917,0.21007240097317217
TBL1XR1,16.0,1.0,36,5,17.0,0.5053311044483499,0.9677231883988735,-1.3913714918177116,2.4020337007144112,0.5221855903695303,0.6015411178524016,0.7327042187375117
TBX3,11.0,6.0,41,170,17.0,1.983586727954532,0.5203500396528755,0.963719390880907,3.003454065028157,3.812023785522874,0.00013783360909673366,0.0013955652921044282
TCF12,17.0,2.0,34,14,19.0,1.079099474444528,0.7450462278480533,-0.38116429895507964,2.5393632478441353,1.4483657981348808,0.14751477475622318,0.3273615549384679
TCF7L2,16.0,10.0,67,62,26.0,0.3750240826069289,0.4320404734037896,-0.4717596851281338,1.2218078503419916,0.8680299779609477,0.38537792173766094,0.5834693768364586
