gene,n_ptc_trig,n_ptc_evad,n_syn_trig,n_syn_evad,log_or,se,ci_lower,ci_upper,z,p_value,category,use_ai_filter
NF2,51,3,55,16,1.4757961993284685,0.6194802983683336,0.26163712539440787,2.6899552732625294,2.3823133733479644,0.017204249965868022,Tumor Suppressors,False
AXIN1,15,30,52,89,-0.14346120400493337,0.3571047712973332,-0.8433736944551192,0.5564512864452525,-0.40173421229783696,0.6878796431322125,Tumor Suppressors,False
NCOR1,100,18,197,43,0.1794093491683132,0.30340748127994455,-0.41525838678038873,0.7740770851170151,0.5913148496255365,0.5543094816933622,Tumor Suppressors,False
PTEN,272,64,22,13,0.9301477665355813,0.3710688874833795,0.2028661112848118,1.6574294217863508,2.506671396904014,0.012187395421336629,Tumor Suppressors,False
NOTCH2,37,23,173,71,-0.4191396378607001,0.29827765739801776,-1.0037531037537921,0.16547382803239197,-1.4051995765187524,0.15996194004974462,Tumor Suppressors,False
FBXW7,107,64,28,30,0.5786482201047518,0.3044352247926229,-0.01803385611414443,1.175330296323648,1.9007268968264728,0.05733779362806262,Tumor Suppressors,False
ARID2,84,116,62,97,0.12354608261881858,0.2160426364636433,-0.29988970397500214,0.5469818692126392,0.5718597247335921,0.567417011382656,Tumor Suppressors,False
RB1,274,4,55,13,2.697180528865306,0.5638770269871428,1.592001864260986,3.802359193469626,4.783277913052496,1.7245941949377602e-06,Tumor Suppressors,False
MAP2K4,57,3,30,16,2.1846556766011056,0.6296812970972491,0.9505030125520317,3.4188083406501795,3.469462546643979,0.0005215007726266737,Tumor Suppressors,False
CDK12,25,36,49,142,0.6987355217099953,0.3063209274766445,0.0983575361448662,1.2991135072751243,2.2810570843654503,0.022545069184092895,Tumor Suppressors,False
STAG2,115,4,103,11,1.0479685558493548,0.5722749237631801,-0.07366968398188334,2.169606795680593,1.831232703607029,0.06706581735631169,Tumor Suppressors,False
CDH1,64,39,89,14,-1.3297254239596303,0.34779165209089763,-2.0113845361814744,-0.6480663117377864,-3.8233391053678822,0.00013165651419470487,Tumor Suppressors,False
SH2B3,4,8,29,99,0.5797786140987763,0.6195303361311525,-0.6344785320482763,1.794035760245829,0.935835713420237,0.3493577805735407,Tumor Suppressors,False
ZRSR2,4,6,15,17,-0.24636392312104985,0.7054979533942612,-1.6291145029405196,1.1363866566984198,-0.34920572332740923,0.7269348697575635,Tumor Suppressors,False
CREBBP,90,35,152,246,1.4160145516597888,0.22323286053455324,0.9784861848462116,1.853542918473366,6.343217339369309,2.2501563132465134e-10,Tumor Suppressors,False
RNF43,51,45,31,46,0.513334248474509,0.30764737248397733,-0.08964352153246535,1.1163120184814834,1.6685799860073374,0.09520064800715186,Tumor Suppressors,False
FBLN2,13,7,141,125,0.46779270639066534,0.47163828587873835,-0.45660134766186783,1.3921867604431986,0.9918463373241464,0.32127248976443834,Tumor Suppressors,False
HLA-A,69,13,446,84,-0.026050798827062887,0.32021324842465404,-0.653657233111962,0.6015556354578363,-0.08135453156677439,0.9351600077487674,Tumor Suppressors,False
TP53,1269,21,195,7,0.8176681071279602,0.4309846429420604,-0.027046270928333005,1.6623824851842535,1.897209379773385,0.05780030938840915,Tumor Suppressors,False
APC,546,1307,41,176,0.5752895608142141,0.1798798277849042,0.22273157681053457,0.9278475448178937,3.198188301036907,0.0013829394603702171,Tumor Suppressors,False
HLA-B,57,15,1001,39,-1.922008559320693,0.3289717181201398,-2.56678127876843,-1.2772358398729562,-5.8424735424179515,5.1431356975276e-09,Tumor Suppressors,False
DNMT3A,28,6,150,29,-0.1514709104701429,0.47903726003471847,-1.0903666873909397,0.7874248664506539,-0.3161985989548391,0.7518517711100696,Tumor Suppressors,False
USP9X,80,19,136,20,-0.47805700962583536,0.3461371211837642,-1.1564733008583894,0.20035928160671873,-1.3811203143740103,0.16724197045290656,Tumor Suppressors,False
TGFBR2,12,18,16,53,0.7842791852194023,0.4619001011530106,-0.12102837749590634,1.6895867479347109,1.6979411419518164,0.08951887116323477,Tumor Suppressors,False
