gene,n_observations,NMDetective-AI,NMDetective-A,NMDetective-B,Global logistic,Clustered logistic,NMDetective-AI-SP
MYO7A,83,0.7462754331243678,0.7100310190509349,0.57153584551684,0.849640820692169,0.857954336379958,0.8552481823358907
PTPRD,81,0.7299186808145604,0.718167382052752,0.6593093471390925,0.8347917958031964,0.8231450816995632,0.855400962373567
FH,80,0.7884782743520173,0.7242909188501114,0.6089171386851673,0.9029222368517729,0.9111244614234665,0.7950564769276128
FLG,62,-0.7013855090700235,0.7328993408855309,-0.5310509548467856,0.7300300977968793,0.7361036678217804,0.7506918896045729
PAH,73,0.7161726466713494,0.70979955692173,0.6793174023584942,0.6817006210844083,0.7541516479845143,0.7618087542573883
COL1A1,82,0.658822554144765,0.5790828798770944,0.5105303713673303,0.7141446726490485,0.7280235346123156,0.7628086036473718
DNAH5,82,0.8734678959133909,0.8868755576407817,0.8495677241483034,0.8518095279963024,0.9023913535571825,0.7983261843608174
B2M,79,0.8706317235382364,0.7744029506391126,0.6158741414936916,0.8696382986488772,0.8761128538999052,0.8619594174764229
RAD50,57,0.6616106521900305,0.4378238769983478,0.5033571796903644,0.6341463451466105,0.6579062319282135,0.6385311565669654
CHEK2,81,0.8477041530730425,0.8360265435402123,0.7732403385290141,0.8512000227540413,0.8403861814550343,0.8266978637714391
SDHA,81,0.8136043758061358,0.764869899315895,0.6386161126500919,0.8213826643376407,0.8252090293304231,0.8457434884566148
CDKN1B,81,0.7929353455332052,0.7602266712400316,0.7352748506817199,0.8644851076449154,0.8556760361259859,0.8718941134581175
